player_id,player_name,round,predicted_points
540,Pembele,12,0.0
539,O'Nien,12,0.0
538,Johnson,12,0.0
537,Huggins,12,0.0
536,Hjelde,12,0.0
535,Cirkin,12,0.0
534,Anderson,12,0.0
533,Alese,12,0.0
184,Green,12,0.0
183,Weiss,12,0.0
2,Arrizabalaga,12,0.0
710,Patterson,12,0.0
3,Hein,12,0.0
703,Proctor,12,0.0
702,Burrowes,12,0.0
28,Kabia,12,0.0
530,Nna Noukeu,12,0.0
554,Ba,12,0.0
30,Havertz,12,0.0
550,Poveda,12,0.0
549,Neil,12,0.0
548,Mundle,12,0.0
546,Aleksić,12,0.0
147,Estupiñan,12,0.0
674,Ramsdale,12,0.0
13,Clarke,12,0.0
23,Fábio Vieira,12,0.0
675,Gunn,12,0.0
14,Kacurri,12,0.0
15,Nichols,12,0.0
655,Fábio Silva,12,0.0
524,Stamenic,12,0.0
523,Da Silva Moreira,12,0.0
520,O'Brien,12,0.0
747,Mayers,12,0.0
542,Seelt,12,0.0
689,Seung soo,12,0.0
641,Pond,12,0.0
132,Maghoma,12,0.0
514,Boly,12,0.0
513,Abbott,12,0.0
18,Madueke,12,0.0
512,O.Richards,12,0.0
43,Alex Moreno,12,0.0
51,Iling Jr,12,0.0
49,Bailey,12,0.0
509,David Carmo,12,0.0
46,Yasin,12,0.0
45,Sousa,12,0.0
42,A.García,12,0.0
185,Hladký,12,0.0
105,Valdimarsson,12,0.0
104,Eyestone,12,0.0
103,Cox,12,0.0
133,Peart-Harris,12,0.0
102,Balcombe,12,0.0
640,Pedro Lima,12,0.0
507,Aina,12,0.0
4,Setford,12,0.0
127,Nunes,12,0.0
255,Matthews,12,0.0
504,Turner,12,0.0
130,Donovan,12,0.0
729,Cuiabano,12,0.0
743,Emenalo,12,0.0
11,White,12,0.0
518,Jota,12,0.0
699,Douglas Luiz,12,0.0
131,Konak,12,0.0
29,Sambi,12,0.0
498,White,12,0.0
496,Kuol,12,0.0
495,Hayden,12,0.0
254,Benitez,12,0.0
492,Antoñito C.,12,0.0
653,Hodge,12,0.0
715,John,12,0.0
149,Igor,12,0.0
751,Akhamrich,12,0.0
750,Rowswell,12,0.0
745,Byfield,12,0.0
711,Harriman-Annous,12,0.0
61,Dendoncker,12,0.0
60,Broggio,12,0.0
57,Dobbin,12,0.0
56,Barrenechea,12,0.0
280,Ozoh,12,0.0
501,Neave,12,0.0
571,Davies,12,0.0
599,Scarlett,12,0.0
567,Kinsky,12,0.0
598,Lankshear,12,0.0
596,Solanke,12,0.0
752,Golambeckis,12,0.0
595,Olusesi,12,0.0
594,Min-hyeok,12,0.0
592,Moore,12,0.0
31,G.Jesus,12,0.0
572,Dragusin,12,0.0
608,Scarles,12,0.0
632,Doherty,12,0.0
611,Casey,12,0.0
631,Agbadou,12,0.0
651,Edozie,12,0.0
650,Chirewa,12,0.0
649,B.Traore,12,0.0
616,Álvarez,12,0.0
591,Gray,12,0.0
617,Cornet,12,0.0
601,Foderingham,12,0.0
589,Solomon,12,0.0
587,Bissouma,12,0.0
620,Earthy,12,0.0
586,Bergvall,12,0.0
583,Kulusevski,12,0.0
622,Orford,12,0.0
279,M.França,12,0.0
607,N.Aguerd,12,0.0
606,Mavropanos,12,0.0
604,Emerson,12,0.0
602,Hegyi,12,0.0
590,Bryan,12,0.0
137,Morgan,12,0.0
134,Trevitt,12,0.0
165,Sima,12,0.0
164,O'Riley,12,0.0
163,Hinshelwood,12,0.0
545,Roberts,12,0.0
544,Diarra,12,0.0
122,Milambo,12,0.0
635,R.Gomes,12,0.0
281,Rodney,12,0.0
683,Alderete,12,0.0
282,Umeh,12,0.0
529,Moore,12,0.0
528,Patterson,12,0.0
9,Kiwior,12,0.0
734,Bakwa,12,0.0
738,Fabianski,12,0.0
558,Matete,12,0.0
557,H.Jones,12,0.0
556,Ekwah,12,0.0
555,Browne,12,0.0
566,Austin,12,0.0
564,Rusyn,12,0.0
563,Luís Hemir,12,0.0
562,Abdullahi,12,0.0
559,Triantis,12,0.0
581,Maddison,12,0.0
629,Bentley,12,0.0
150,Lamptey,12,0.0
579,Son,12,0.0
578,Vuskovic,12,0.0
577,Takai,12,0.0
748,Dasilva,12,0.0
35,Marschall,12,0.0
34,Gauci,12,0.0
33,M.Bizot,12,0.0
500,Osula,12,0.0
117,Ji-soo,12,0.0
143,Boscagli,12,0.0
142,Scherpen,12,0.0
118,Meghoma,12,0.0
141,Rushworth,12,0.0
140,McGill,12,0.0
138,Steele,12,0.0
576,Phillips,12,0.0
359,Crew,12,0.0
357,Ramazani,12,0.0
749,Mané,12,0.0
